County,Percent 2020,Percent 2010,Percent 2000,Percent 1990,Percent 1980
"Buchanan County, Missouri",,0.07,0.31,0.32,0.44
"Mercer County, Pennsylvania",,0.23,0.25,0.21,0.41
"McKean County, Pennsylvania",,0.19,0.48,0.23,0.36
"Jefferson County, Ohio",,0.19,0.16,0.22,0.34
"Dougherty County, Georgia",,0.25,0.21,0.42,0.33
"Spotsylvania County, Virginia",,,,0.18,0.3
"Lavaca County, Texas",,,,0,0.29
"Emmet County, Michigan",,0.98,0.48,0,0.27
"Holmes County, Mississippi",,0.22,0.16,0,0.27
"McCracken County, Kentucky",,0.12,0.08,1.15,0.26
"Clinton County, Pennsylvania",,0.13,0.26,0,0.26
"Navarro County, Texas",,,,0,0.26
