County,Percent 2020,Percent 2010,Percent 2000,Percent 1990,Percent 1980
"Essex County, New Jersey",5.19,4.93,0.06,8.34,1.44
"Franklin County, Nebraska",5.19,,,,
"Lauderdale County, Tennessee",5.16,4.18,,10.55,4.52
"Wayne County, North Carolina",5.15,1.94,,13.42,3.17
"Polk County, Texas",5.12,0.89,0.02,4.17,0
"Caldwell County, Kentucky",5.11,0.92,,1.72,3.23
"Wilkinson County, Mississippi",5.1,7.39,,30.58,9.6
"Washington County, Missouri",5.1,0.73,,,
"Grand County, Colorado",5.09,,,,
"Lee County, Mississippi",5.08,3.92,,6.75,3.93
"Person County, North Carolina",5.06,5.3,,8.98,0
"Chattahoochee County, Georgia",5.02,5.17,,9.42,1.91
"Polk County, North Carolina",4.99,1.71,,2.76,3.27
"Lee County, Alabama",4.98,5.25,,26.63,26.81
"Pender County, North Carolina",4.97,4.08,,9.16,0.05
"Roanoke city, Virginia",4.97,3.53,,,
"Harris County, Georgia",4.96,2.84,,6.56,7.64
"McNairy County, Tennessee",4.95,,,1.65,0.44
"Coosa County, Alabama",4.91,12.03,,17.63,1.02
"Taylor County, Florida",4.91,3.92,0.37,4.7,0
"Greenwood County, South Carolina",4.87,7.07,,9.22,1.02
"Crawford County, Georgia",4.85,8.5,,18.2,16.24
"Troup County, Georgia",4.82,3.27,,11.99,6.19
"Upson County, Georgia",4.82,5.82,,10.41,3.63
"Lincoln County, Arkansas",4.82,5.81,,15.96,0.95
"Prentiss County, Mississippi",4.79,1.3,,3.52,1.05
"Sharkey County, Mississippi",4.79,7.89,,31.66,0.82
"Cochran County, Texas",4.79,,,,
"Anderson County, South Carolina",4.77,4.21,,6.29,1.15
"Butts County, Georgia",4.75,5.72,,10.41,8.14
"Forsyth County, North Carolina",4.71,2.45,0.08,12.69,5.83
"Beauregard Parish, Louisiana",4.71,4.59,,4.31,1.43
"Mitchell County, North Carolina",4.7,,,,
"Sussex County, Virginia",4.68,2.56,,27.19,0
"Tyrrell County, North Carolina",4.68,5.26,,17.17,0
"Alexandria city, Virginia",4.68,4.87,,,
"Modoc County, California",4.67,,,,
"Butte County, Idaho",4.66,6.57,,,
"Kankakee County, Illinois",4.64,3.07,,5.22,0.47
"Doniphan County, Kansas",4.63,1.81,,,
"Christian County, Kentucky",4.62,3.08,,9.57,3.32
"Bradford County, Florida",4.62,1.53,,6.4,0
"Obion County, Tennessee",4.59,4.26,,3.01,1.2
"Franklin County, Mississippi",4.59,3.84,,16.35,0
"Hoke County, North Carolina",4.57,2.62,,29.87,12.11
"Harrison County, Mississippi",4.57,3.06,,7.57,0.31
"Fayette County, Kentucky",4.55,2.46,,4.93,0.31
"Howard County, Indiana",4.53,1.85,,2.15,0.32
"Delta County, Texas",4.51,,,,4.59
"Coffee County, Georgia",4.5,2.02,,10.03,1.19
"Escambia County, Florida",4.48,4.08,1.22,7.95,1.71
"Craighead County, Arkansas",4.48,0.68,,1.66,1.44
"Lowndes County, Georgia",4.48,3.2,,12.63,0.77
"New Hanover County, North Carolina",4.47,3.16,,15.61,9.73
"Putnam County, Florida",4.47,3.11,0.56,4.92,0.2
"Mecklenburg County, Virginia",4.44,0.72,,11.47,0
"Alcorn County, Mississippi",4.43,2.44,,3.4,1.76
"Erie County, New York",4.4,2.63,,3.72,1.53
"Robeson County, North Carolina",4.39,3.4,,9.21,1.41
"Pointe Coupee Parish, Louisiana",4.39,2.68,,16.9,0
"Harrison County, Texas",4.38,4.75,,8.49,5.05
"Chemung County, New York",4.36,1.09,,2,0.85
"Lucas County, Ohio",4.36,3.43,,5.75,0.55
"Covington city, Virginia",4.36,6.59,,,
"Crockett County, Tennessee",4.34,4.48,,8.35,4.63
"Lonoke County, Arkansas",4.34,0.79,,3.77,0.82
"Smith County, Tennessee",4.34,1.6,,,
"Elkhart County, Indiana",4.33,1.97,,1.6,0.05
"Franklin County, North Carolina",4.3,1.73,,10.55,1.5
"Anderson County, Texas",4.3,2.02,0.19,7.56,0
"Limestone County, Alabama",4.29,1.05,0.91,4.81,1.5
"Rusk County, Texas",4.28,3.26,,6.96,1.18
"Cumberland County, New Jersey",4.28,1.18,,4.47,0.38
"Lawrence County, Ohio",4.28,0.86,,0.86,0
"Pike County, Arkansas",4.27,1.63,,,
"Greene County, Georgia",4.26,7.58,,30.54,0
"Limestone County, Texas",4.26,4.7,2.92,6.52,0
"Muskogee County, Oklahoma",4.24,4.21,,4.37,0.38
"Sabine Parish, Louisiana",4.24,3.31,,4.97,0
"Gulf County, Florida",4.23,3.95,1.35,4.71,0
"Smith County, Texas",4.22,4.11,,8.66,4.33
"Hamilton County, Ohio",4.22,2.59,0,7.94,1.18
"Evans County, Georgia",4.21,0.69,,20.32,0
"Polk County, Georgia",4.21,2.59,,2.47,0
"Raleigh County, West Virginia",4.21,2.01,,2.32,0
"Boyle County, Kentucky",4.2,4.41,0.08,2.86,0
"Peoria County, Illinois",4.19,1.87,,4.19,0
"Lincoln County, Georgia",4.16,4.43,,22.09,13.71
"Stephenson County, Illinois",4.15,2.86,,1.6,0.91
"Navarro County, Texas",4.15,3.99,0.11,6.4,0.48
"Todd County, Kentucky",4.13,1.03,,3.31,9.04
"Jackson County, Arkansas",4.13,2.98,,4.33,0.72
"Putnam County, Georgia",4.13,4.54,,19.54,0
"Hardee County, Florida",4.12,2.31,0.14,1.4,1.17
"Saline County, Arkansas",4.12,1.01,,0.8,0
"Bibb County, Alabama",4.11,4.22,,12.61,5.33
